Particle#,Stick Time,Row,Column
1,1.7844750881195068,99,100
2,1.172515869140625,99,100
3,0.30410003662109375,100,101
4,0.3695521354675293,99,101
5,0.8778760433197021,99,99
6,0.4210469722747803,100,100
7,0.42061591148376465,99,101
8,0.628411054611206,100,99
9,1.531376838684082,99,101
10,0.5001609325408936,99,101
11,0.5346839427947998,99,100
12,0.1269080638885498,99,99
13,0.26606082916259766,98,101
14,0.3948628902435303,100,101
15,0.562330961227417,100,100
16,0.030545949935913086,97,101
17,1.1100599765777588,99,101
18,0.3463740348815918,98,100
19,0.6994891166687012,100,99
20,0.07862520217895508,99,102
21,0.10389995574951172,97,100
22,0.3356590270996094,99,101
23,0.07986807823181152,101,100
24,0.15667295455932617,100,102
25,0.8614320755004883,101,100
26,0.5773019790649414,99,102
27,0.26920104026794434,100,103
28,0.0559999942779541,99,99
29,0.16312813758850098,101,101
30,0.021203994750976562,100,103
31,0.07201290130615234,100,104
32,0.3976480960845947,99,103
33,0.03496980667114258,101,103
34,0.12284994125366211,98,99
35,0.2506840229034424,97,100
36,0.02768993377685547,102,101
37,0.06486797332763672,102,103
38,0.1699059009552002,102,101
39,0.5682218074798584,102,103
40,0.38034892082214355,97,101
41,0.12643814086914062,100,102
42,0.3392791748046875,101,100
43,0.04808211326599121,102,101
44,0.7995381355285645,101,103
45,0.525562047958374,96,101
46,0.868035078048706,98,103
47,0.6564569473266602,99,100
48,0.06575703620910645,98,100
49,0.2176198959350586,101,102
50,0.09584403038024902,102,100
51,0.04978799819946289,96,100
52,0.04298901557922363,100,102
53,0.44310593605041504,98,102
54,0.9016389846801758,97,100
55,0.6144399642944336,102,104
56,0.09361505508422852,96,100
57,0.645906925201416,97,103
58,0.6057820320129395,99,98
59,0.2907240390777588,100,98
60,0.03629183769226074,96,101
61,0.24450206756591797,97,102
62,0.14851999282836914,98,100
63,0.31477904319763184,96,102
64,0.23923206329345703,99,104
65,0.577113151550293,100,97
66,0.16065382957458496,96,102
67,0.16244220733642578,100,100
68,0.9154868125915527,101,98
69,0.24981212615966797,101,97
70,0.11725997924804688,99,104
71,0.35778379440307617,99,97
72,0.49416303634643555,102,104
73,0.053050994873046875,102,104
74,0.017657995223999023,100,98
75,0.13761186599731445,101,104
76,0.3033120632171631,102,104
77,0.1627058982849121,102,104
78,0.14753293991088867,98,101
79,1.2558479309082031,98,99
80,0.06150484085083008,99,101
81,0.01552891731262207,99,97
82,0.1005251407623291,97,102
83,0.08723211288452148,102,103
84,0.48440003395080566,100,104
85,0.3436319828033447,99,96
86,0.16295289993286133,96,102
87,0.1426541805267334,99,98
88,0.9355368614196777,96,102
89,0.29784393310546875,98,103
90,0.2281789779663086,102,100
91,0.11568593978881836,98,98
92,0.05690598487854004,100,97
93,0.39615297317504883,96,102
94,0.0781559944152832,102,101
95,0.809319019317627,102,98
96,0.06271505355834961,96,101
97,1.298356056213379,98,96
98,0.4412081241607666,98,97
99,0.03578805923461914,100,98
100,0.10065793991088867,103,100
101,0.02625417709350586,102,103
102,0.18510198593139648,95,100
103,0.017559051513671875,99,103
104,0.1949470043182373,96,100
105,0.06511902809143066,103,103
106,0.08158111572265625,99,103
107,0.41513991355895996,103,99
108,0.09813785552978516,99,97
109,0.01994490623474121,95,101
110,0.26122498512268066,98,104
111,0.3411238193511963,103,103
112,0.6209421157836914,94,100
113,0.5592629909515381,95,99
114,0.09574317932128906,101,104
115,0.48331689834594727,95,102
116,0.13629388809204102,102,101
117,0.17026782035827637,96,100
118,0.17909502983093262,98,97
119,0.34943699836730957,94,102
120,0.20836400985717773,96,102
121,0.039910078048706055,95,103
122,0.582982063293457,100,96
123,0.3835790157318115,99,105
124,0.5384540557861328,99,98
125,0.0944511890411377,103,104
126,0.030089139938354492,95,98
127,0.17122507095336914,95,98
128,0.06629204750061035,99,98
129,0.19442105293273926,95,97
130,0.3125948905944824,103,100
131,0.08776187896728516,99,106
132,0.20966315269470215,98,95
133,0.5962321758270264,98,94
134,0.07520103454589844,93,102
135,1.0368809700012207,97,94
136,0.38749003410339355,95,98
137,0.18348193168640137,103,98
138,0.2637939453125,103,104
139,0.17002415657043457,93,103
140,0.12994384765625,100,105
141,0.34653306007385254,98,97
142,0.0712580680847168,101,96
143,1.1216871738433838,103,105
144,0.033796072006225586,99,94
145,0.38471198081970215,101,96
146,0.36928796768188477,100,95
147,0.06725120544433594,95,102
148,0.015710115432739258,98,93
149,0.1817159652709961,99,100
150,0.024016141891479492,101,103
151,0.08532595634460449,98,105
152,0.13885807991027832,100,105
153,0.19751691818237305,97,101
154,0.07002496719360352,99,97
155,0.48145103454589844,102,99
156,0.5911288261413574,94,100
157,0.13895893096923828,103,104
158,0.18510079383850098,102,102
159,0.3541250228881836,103,106
160,0.10250401496887207,99,101
161,0.021331071853637695,103,105
162,0.10344481468200684,103,98
163,0.28759002685546875,100,106
164,0.28690600395202637,104,99
165,0.5391108989715576,103,103
166,0.05356001853942871,103,99
167,0.13572287559509277,98,94
168,0.26544690132141113,95,104
169,0.36270999908447266,100,97
170,1.1001529693603516,94,104
171,0.06588315963745117,103,106
172,0.1573810577392578,103,102
173,0.8255360126495361,104,105
174,0.12801909446716309,97,102
175,0.1463780403137207,98,92
176,1.0592851638793945,102,96
177,0.6346368789672852,99,107
178,0.3686859607696533,98,91
179,0.13315296173095703,93,103
180,0.15613293647766113,103,104
181,0.5282430648803711,98,94
182,0.07245683670043945,97,101
183,0.7496259212493896,103,104
184,0.11325597763061523,98,92
185,0.0758810043334961,97,105
186,0.12228989601135254,94,100
187,0.5432929992675781,98,92
188,0.16402196884155273,104,104
189,1.1178929805755615,95,103
190,0.2785470485687256,96,102
191,0.19959211349487305,103,96
192,0.4285140037536621,93,104
193,0.7833278179168701,99,91
194,0.09857511520385742,99,105
195,0.42429113388061523,98,94
196,0.2751271724700928,98,105
197,0.06029701232910156,103,105
198,0.9114899635314941,93,100
199,0.1636791229248047,103,97
200,0.16432714462280273,103,105
201,0.03452801704406738,95,97
202,0.1186971664428711,94,100
203,0.17629313468933105,94,104
204,0.04968404769897461,98,91
205,0.11597609519958496,93,105
206,0.15134215354919434,104,105
207,0.04584193229675293,95,100
208,0.2543940544128418,99,92
209,1.2384328842163086,97,92
210,0.1005239486694336,95,105
211,0.44828295707702637,95,102
212,0.0698249340057373,104,106
213,0.09791207313537598,97,102
214,0.5331299304962158,98,94
215,0.11046385765075684,103,104
216,0.10883712768554688,98,104
217,0.026783227920532227,98,106
218,0.12357592582702637,105,106
219,0.09650397300720215,100,107
220,0.12171816825866699,92,104
221,0.06671810150146484,103,97
222,0.13512611389160156,98,91
223,0.1470339298248291,103,105
224,0.19253778457641602,99,93
225,0.16633200645446777,97,93
226,0.04872298240661621,103,107
227,0.3369460105895996,105,105
228,0.5880870819091797,92,103
229,0.062017202377319336,97,93
230,0.09885501861572266,100,104
231,0.1791369915008545,99,90
232,0.27501702308654785,93,105
233,0.16365981101989746,98,91
234,0.051527976989746094,97,92
235,0.09890317916870117,96,92
236,0.13366389274597168,99,89
237,0.13971805572509766,98,107
238,0.34084296226501465,106,106
239,0.09944295883178711,103,96
240,0.24183893203735352,104,98
241,0.4258761405944824,104,103
242,0.11741495132446289,95,104
243,0.11027383804321289,93,101
244,0.35282206535339355,104,105
245,0.08772611618041992,98,108
246,0.11263012886047363,107,106
247,0.019963979721069336,99,92
248,0.024625062942504883,94,98
249,0.1696920394897461,104,99
250,0.8387811183929443,104,99
251,0.35370707511901855,93,102
252,0.2747931480407715,99,90
253,0.873589038848877,94,105
254,0.09467911720275879,107,107
255,0.15945887565612793,92,100
256,0.30356597900390625,103,95
257,0.39763307571411133,98,90
258,0.10082793235778809,104,96
259,0.3952629566192627,97,93
260,0.17567110061645508,95,98
261,0.07829689979553223,98,91
262,0.05868196487426758,93,101
263,0.6355710029602051,99,107
264,0.05735611915588379,95,105
265,0.07038092613220215,105,107
266,0.26505398750305176,95,99
267,0.37066197395324707,92,100
268,0.6216070652008057,92,105
269,0.37101101875305176,104,107
270,1.0403478145599365,107,108
271,0.025944948196411133,91,100
272,0.11768579483032227,99,107
273,0.2480762004852295,103,105
274,0.22360897064208984,102,105
275,0.2726311683654785,92,105
276,0.05658912658691406,91,99
277,0.3733839988708496,94,105
278,0.24808812141418457,105,106
279,0.8699250221252441,101,107
280,0.22629094123840332,94,105
281,0.18249797821044922,104,95
282,0.11319303512573242,98,89
283,0.550900936126709,98,91
284,0.07695794105529785,95,101
285,0.3688030242919922,99,91
286,0.06982207298278809,103,99
287,0.21133708953857422,92,106
288,0.14840412139892578,98,93
289,0.19339299201965332,103,106
290,0.17838191986083984,91,105
291,1.2433769702911377,98,109
292,0.38138914108276367,103,96
293,0.08076906204223633,92,107
294,0.9294559955596924,98,107
295,0.8785309791564941,106,107
296,0.20660805702209473,92,102
297,0.09432291984558105,98,88
298,0.36757993698120117,99,90
299,0.06566500663757324,102,102
300,0.7407290935516357,103,108
301,0.5012528896331787,105,103
302,0.5792160034179688,95,92
303,0.083953857421875,96,91
304,0.024150848388671875,104,103
305,0.4223320484161377,91,103
306,0.273298978805542,105,106
307,0.13809800148010254,99,88
308,0.36170315742492676,97,107
309,0.26505589485168457,108,108
310,0.14380288124084473,98,88
311,0.14876699447631836,99,109
312,0.0814061164855957,94,101
313,0.06409788131713867,93,100
314,0.04423713684082031,97,88
315,0.8443658351898193,107,109
316,0.17776107788085938,100,89
317,0.8372840881347656,95,93
318,0.3181271553039551,108,109
319,0.24859881401062012,90,105
320,0.10848879814147949,103,105
321,0.1541609764099121,107,110
322,0.434830904006958,104,107
323,0.058106184005737305,92,101
324,0.2563049793243408,100,106
325,0.22965407371520996,92,105
326,0.19330501556396484,103,98
327,0.04568910598754883,98,88
328,0.24906682968139648,107,110
329,0.14014887809753418,98,91
330,0.184128999710083,98,109
331,0.1644902229309082,102,107
332,0.1355750560760498,89,105
333,0.10930204391479492,90,99
334,0.6175811290740967,89,105
335,0.27680301666259766,99,87
336,0.06005978584289551,105,108
337,0.08270883560180664,92,101
338,0.37029194831848145,100,89
339,0.07681488990783691,104,107
340,0.20406103134155273,99,87
341,0.19971203804016113,107,108
342,0.44837403297424316,91,106
343,0.6622138023376465,104,95
344,0.11567807197570801,98,91
345,0.20096898078918457,91,98
346,0.11577606201171875,97,87
347,0.21956896781921387,100,96
348,0.051863908767700195,107,110
349,0.038236141204833984,108,108
350,0.1582028865814209,107,109
351,0.4265880584716797,91,101
352,0.0963890552520752,99,110
353,0.12885785102844238,99,89
354,1.4176380634307861,107,108
355,0.07011604309082031,98,110
356,0.0677330493927002,93,104
357,0.09823489189147949,106,106
358,0.12768888473510742,103,97
359,0.05776715278625488,91,102
360,0.13651800155639648,104,100
361,0.07630586624145508,104,100
362,0.1344599723815918,107,107
363,0.3674180507659912,93,103
364,0.3682990074157715,99,93
365,0.45923519134521484,99,88
366,0.04811978340148926,104,108
367,0.2777700424194336,104,99
368,0.4552597999572754,92,105
369,0.056199073791503906,90,106
370,0.29961109161376953,89,99
371,0.1952829360961914,90,101
372,0.18989205360412598,97,88
373,0.27624082565307617,94,92
374,0.39243197441101074,100,110
375,0.07477688789367676,108,108
376,0.6315670013427734,98,88
377,0.353607177734375,91,107
378,0.1369478702545166,105,95
379,0.04736018180847168,98,89
380,0.7381680011749268,97,91
381,0.6341218948364258,89,98
382,1.4755821228027344,90,105
383,0.35790419578552246,106,107
384,0.48571205139160156,99,91
385,0.21964812278747559,109,108
386,0.23615694046020508,97,91
387,0.6449100971221924,100,94
388,0.2746541500091553,91,105
389,0.6418108940124512,100,87
390,0.247514009475708,105,107
391,0.022948026657104492,98,109
392,0.5028359889984131,97,109
393,0.3874168395996094,98,110
394,0.2672090530395508,90,106
395,0.17977380752563477,108,110
396,0.210845947265625,102,106
397,0.1280980110168457,101,89
398,0.4204261302947998,96,91
399,0.029506921768188477,107,110
400,0.07025384902954102,89,105
401,0.3592531681060791,107,110
402,0.13457489013671875,98,87
403,0.961359977722168,99,87
404,0.2745199203491211,108,110
405,0.02745199203491211,89,101
406,0.10030913352966309,92,99
407,0.020839929580688477,103,96
408,0.0786590576171875,98,108
409,0.20916104316711426,96,92
410,0.48351287841796875,98,108
411,0.06476211547851562,99,88
412,0.22980213165283203,99,91
413,0.1589961051940918,97,86
414,0.043637990951538086,105,95
415,0.045744895935058594,106,107
416,0.06561899185180664,90,100
417,0.20439481735229492,89,106
418,0.066741943359375,107,107
419,0.1584458351135254,108,111
420,0.017083168029785156,90,98
421,0.12499785423278809,99,87
422,0.12839317321777344,94,98
423,0.02390885353088379,97,88
424,0.2816450595855713,91,105
425,0.23587608337402344,98,86
426,0.12418794631958008,109,107
427,0.09314608573913574,109,108
428,0.31237101554870605,97,94
429,0.1706230640411377,108,110
430,0.03205299377441406,91,108
431,0.08816790580749512,106,95
432,0.16361594200134277,96,86
433,0.019469022750854492,96,91
434,0.09990811347961426,109,107
435,0.036898136138916016,90,107
436,0.23359894752502441,106,108
437,0.21898508071899414,97,86
438,1.0133140087127686,99,110
439,0.21459102630615234,106,95
